Wavelength [nm], Intensity [64 bit] LiF_1.tif
9.95836201439744, 139.0625
9.96617897359991, 130.1875
9.97399581503192, 127.3125
9.98181254172125, 121.84375
9.98962915669568, 120.453125
9.99744566298299, 117.34375
10.00526206361096, 118.078125
10.01307836160737, 116.15625
10.02089456, 113.140625
10.02871066181663, 115.71875
10.036526670085038, 113.265625
10.04434258783301, 114.4375
10.05215841808832, 112.4375
10.05997416387875, 117.875
10.06778982823208, 118.8125
10.075605414176088, 116.203125
10.083420924738562, 116.921875
10.09123636294727, 116.515625
10.09905173183, 115.625
10.106867034414531, 123.40625
10.11468227372864, 126.875
10.122497452800111, 127.796875
10.13031257465672, 126.390625
10.13812764232625, 118.046875
10.14594265883648, 113.0
10.153757627215189, 112.796875
10.16157255049016, 115.28125
10.16938743168917, 119.015625
10.177202273839999, 129.21875
10.18501707997043, 138.09375
10.192831853108242, 154.84375
10.20064659628121, 190.828125
10.20846131251712, 246.046875
10.216276004843749, 328.109375
10.22409067628888, 418.890625
10.23190532988029, 465.546875
10.23971996864576, 433.734375
10.24753459561307, 333.796875
10.25534921381, 244.71875
10.26316382626433, 189.359375
10.27097843600384, 154.6875
10.278793046056311, 139.328125
10.286607659449519, 134.671875
10.29442227921125, 138.09375
10.30223690836928, 146.484375
10.310051549951389, 159.84375
10.31786620698536, 170.140625
10.325680882498968, 172.578125
10.33349557952, 157.609375
10.34131030107623, 146.234375
10.34912505019544, 138.296875
10.35693982990541, 132.609375
10.364754643233919, 132.09375
10.37256949320875, 134.40625
10.380384382857681, 134.953125
10.388199315208489, 138.015625
10.39601429328896, 148.171875
10.40382932012687, 174.140625
10.411644398750001, 218.34375
10.41945953218613, 211.359375
10.42727472346304, 161.53125
10.435089975608511, 169.359375
10.44290529165032, 240.296875
10.45072067461625, 333.078125
10.45853612753408, 389.046875
10.46635165343159, 367.4375
10.47416725533656, 288.171875
10.48198293627677, 226.546875
10.489798699280001, 192.328125
10.497614547374031, 173.4375
10.50543048358664, 165.65625
10.51324651094561, 151.25
10.52106263247872, 143.171875
10.52887885121375, 131.015625
10.53669517017848, 123.234375
10.544511592400688, 124.03125
10.552328120908161, 146.796875
10.560144758728669, 181.921875
10.56796150889, 231.53125
10.57577837441993, 267.546875
10.58359535834624, 229.578125
10.59141246369671, 161.03125
10.59922969349912, 125.859375
10.607047050781249, 119.6875
10.614864538570881, 113.78125
10.622682159895788, 109.4375
10.63049991778376, 104.6875
10.638317815262571, 101.234375
10.64613585536, 103.578125
10.65395404110383, 109.15625
10.661772375521839, 116.296875
10.66959086164181, 134.71875
10.67740950249152, 158.15625
10.68522830109875, 185.390625
10.69304726049128, 219.390625
10.70086638369689, 282.65625
10.70868567374336, 416.5
10.716505133658469, 578.09375
10.724324766470001, 631.65625
10.73214457520573, 554.484375
10.73996456289344, 432.125
10.747784732560909, 328.21875
10.75560508723592, 284.328125
10.76342562994625, 283.453125
10.77124636371968, 291.3125
10.77906729158399, 282.0
10.78688841656696, 245.890625
10.79470974169637, 218.046875
10.80253127, 264.578125
10.810353004505629, 527.015625
10.81817494824104, 1022.15625
10.825997104234009, 1562.796875
10.833819475512321, 1933.75
10.84164206510375, 1800.015625
10.84946487603608, 1135.703125
10.857287911337089, 514.0
10.86511117403456, 250.859375
10.87293466715627, 173.671875
10.880758393730002, 144.453125
10.88858235678353, 127.46875
10.896406559344639, 119.125
10.90423100444111, 116.234375
10.91205569510072, 113.5
10.91988063435125, 110.234375
10.927705825220482, 107.375
10.93553127073619, 111.484375
10.94335697392616, 117.03125
10.95118293781817, 113.5
10.959009165440001, 112.53125
10.96683565981943, 106.71875
10.97466242398424, 104.5625
10.98248946096221, 106.65625
10.99031677378112, 111.609375
10.99814436546875, 115.71875
11.00597223905288, 118.78125
11.01380039756129, 128.90625
11.021628844021759, 137.03125
11.02945758146207, 149.078125
11.037286612909998, 149.140625
11.04511594139333, 136.546875
11.05294556993984, 137.4375
11.06077550157731, 145.953125
11.06860573933352, 151.0625
11.07643628623625, 153.140625
11.08426714531328, 156.390625
11.092098319592388, 159.71875
11.09992981210136, 183.234375
11.107761625867969, 214.484375
11.11559376392, 217.8125
11.12342622928523, 205.296875
11.13125902499144, 222.609375
11.139092154066411, 247.609375
11.146925619537921, 249.234375
11.154759424433749, 215.03125
11.16259357178168, 180.046875
11.170428064609489, 176.296875
11.178262905944958, 189.8125
11.186098098815869, 204.78125
11.193933646249999, 216.640625
11.201769551275131, 261.921875
11.20960581691904, 496.765625
11.21744244620951, 1381.59375
11.22527944217432, 3619.96875
11.23311680784125, 7539.40625
11.240954546238079, 8628.59375
11.24879266039259, 8123.1875
11.25663115333256, 3110.390625
11.26447002808577, 1062.28125
11.272309287679999, 573.0625
11.280148935143032, 459.984375
11.28798897350264, 489.59375
11.295829405786609, 656.5
11.30367023502272, 1140.765625
11.31151146423875, 2222.359375
11.31935309646248, 3354.890625
11.327195134721691, 3511.203125
11.33503758204416, 2543.65625
11.34288044145767, 1499.453125
11.35072371599, 912.859375
11.358567408668929, 610.609375
11.36641152252224, 445.96875
11.37425606057771, 342.640625
11.38210102586312, 279.375
11.38994642140625, 249.015625
11.397792250234879, 224.625
11.40563851537679, 196.59375
